Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Label
0.0239646434783936,-0.213740458015267,-0.366412213740458,0.190839694656489,0.052734375,-0.302993280390959,0.94873046875,0
0.0717291831970215,-0.175572519083969,-0.343511450381679,0.251908396946565,0.050048828125,-0.305681124007331,0.944580078125,0
0.119192361831665,-0.206106870229008,-0.33587786259542,0.312977099236641,0.033203125,-0.275381795968235,0.9501953125,0
0.16600227355957,-0.213740458015267,-0.290076335877863,0.274809160305344,0.04443359375,-0.283200977397679,0.947998046875,0
0.212241888046265,-0.198473282442748,-0.343511450381679,0.190839694656489,0.040771484375,-0.299083689676237,0.942138671875,0
0.258992433547974,-0.198473282442748,-0.297709923664122,0.183206106870229,0.043701171875,-0.294929749541845,0.946533203125,0
0.305005073547363,-0.221374045801527,-0.312977099236641,0.16030534351145,0.04296875,-0.299816737935247,0.947021484375,0
0.353005170822144,-0.236641221374046,-0.374045801526718,0.175572519083969,0.029052734375,-0.28515577275504,0.948974609375,0
0.400992870330811,-0.244274809160305,-0.320610687022901,0.137404580152672,0.044921875,-0.327916921197312,0.945068359375,0
0.44706392288208,-0.236641221374046,-0.312977099236641,0.221374045801527,0.039794921875,-0.291508857666463,0.950927734375,0
0.495025396347046,-0.229007633587786,-0.32824427480916,0.290076335877863,0.049072265625,-0.295174098961515,0.948486328125,0
0.542033910751343,-0.190839694656489,-0.33587786259542,0.312977099236641,0.04052734375,-0.307147220525351,0.949462890625,0
0.588992118835449,-0.137404580152672,-0.366412213740458,0.244274809160305,0.04150390625,-0.312522907758094,0.945068359375,0
0.635191202163696,-0.16793893129771,-0.389312977099237,0.229007633587786,0.037109375,-0.289065363469762,0.94384765625,0
0.681171178817749,-0.175572519083969,-0.389312977099237,0.290076335877863,0.050537109375,-0.296395846059866,0.946533203125,0
0.72699236869812,-0.236641221374046,-0.389312977099237,0.290076335877863,0.03515625,-0.300794135613928,0.94873046875,0
0.775206565856934,-0.183206106870229,-0.32824427480916,0.610687022900763,0.037353515625,-0.314233353695785,0.961669921875,0
0.821191787719727,-0.206106870229008,-0.312977099236641,0.809160305343512,0.034912109375,-0.26731826511912,0.944091796875,0
0.866910696029663,-0.099236641221374,-0.366412213740458,0.83969465648855,0.08154296875,-0.307147220525351,0.937744140625,0
0.962046384811401,-0.0458015267175573,-0.458015267175573,0.0229007633587786,0.060302734375,-0.295662797800855,0.94580078125,0
1.01000452041626,-0.0305343511450382,-0.679389312977099,0.099236641221374,-0.04541015625,-0.270250458155162,0.94580078125,0
1.05800127983093,-0.221374045801527,-0.396946564885496,0.473282442748092,0.0205078125,-0.296395846059866,0.97900390625,1
1.10600924491882,-0.366412213740458,4.54961832061069,0.0458015267175573,-0.372314453125,-0.356017104459377,1.016845703125,1
1.20000076293945,-1.23664122137405,7.94656488549618,-3.18320610687023,-0.35009765625,-0.508491142333537,1.019775390625,1
1.2485454082489,-2.51908396946565,9.13740458015267,-2.76335877862595,-0.43408203125,-0.394135613927917,1.0927734375,1
1.29520773887634,-2.93893129770992,10.2595419847328,-3.65648854961832,-0.271728515625,-0.507269395235186,1.0869140625,1
1.29520773887634,-3.63358778625954,10.6412213740458,-2.74809160305344,-0.3037109375,-0.378252901649359,1.04736328125,1
1.34202909469605,-3.89312977099237,11.1450381679389,-2.90076335877863,-0.147216796875,-0.379474648747709,0.99169921875,1
1.39000368118286,-3.87022900763359,10.5190839694657,-2.40458015267176,-0.09423828125,-0.300305436774588,0.956298828125,1
1.43723797798157,-3.36641221374046,8.14503816793893,-2.87786259541985,0.049560546875,-0.258766035430666,0.864501953125,1
1.48399686813355,-3.00763358778626,6.53435114503817,-2.21374045801527,0.053466796875,-0.202076970067196,0.842529296875,1
1.53117084503174,-1.77099236641221,2.93893129770992,-1.6030534351145,0.08447265625,-0.212583995113012,0.8369140625,1
1.5780189037323,-0.580152671755725,-0.229007633587786,-1.12977099236641,0.1455078125,-0.241172877214417,0.81396484375,1
1.62601089477539,1.13740458015267,-4.48091603053435,1.29770992366412,0.096435546875,-0.167623701893708,0.83935546875,1
1.67402195930481,1.77099236641221,-3.91603053435115,1.6793893129771,0.105224609375,-0.271960904092853,0.813720703125,1
1.76699233055115,3.20610687022901,-9.10687022900763,3.41221374045802,-0.011962890625,-0.32376298106292,0.9326171875,1
1.8135232925415,3.24427480916031,-9.84732824427481,4.25190839694657,-0.06689453125,-0.290775809407453,1.004150390625,1
1.86002850532532,2.50381679389313,-11.3206106870229,6.85496183206107,-0.100341796875,-0.234331093463653,1.152099609375,1
1.90600228309631,2.74809160305344,-12.236641221374,7.11450381679389,-0.137939453125,-0.313500305436775,1.10498046875,1
1.95254993438721,3.08396946564885,-13.6870229007634,6.05343511450382,-0.19580078125,-0.366279780085522,1.150146484375,1
1.99917268753052,2.10687022900763,-14.2213740458015,5.47328244274809,-0.27392578125,-0.421991447770312,1.143310546875,1
2.04602336883545,0.648854961832061,-7.6793893129771,1.24427480916031,0.46875,-0.441295051924252,0.927978515625,1
2.0940260887146,0.526717557251908,-6.16030534351145,3.7175572519084,-0.14501953125,-0.276359193646915,0.958740234375,1
2.14202189445496,0.129770992366412,-4.57251908396947,3.27480916030534,-0.194091796875,-0.352107513744655,0.91845703125,1
2.18900370597839,-0.564885496183206,-2.83969465648855,2.23664122137405,-0.063232421875,-0.301527183872938,0.905517578125,1
2.23603940010071,-0.793893129770992,-2.51908396946565,2.02290076335878,0.0615234375,-0.239951130116066,0.90771484375,1
2.23603940010071,-0.854961832061069,-2.58778625954198,1.65648854961832,0.09521484375,-0.24825901038485,0.905517578125,1
2.28400802612305,-0.763358778625954,-2.6030534351145,1.50381679389313,0.124755859375,-0.279535736102627,0.908203125,1
2.33200216293335,-0.66412213740458,-2.68702290076336,2.74045801526718,0.126220703125,-0.265363469761759,0.95654296875,1
2.38000345230103,-0.587786259541985,-2.54198473282443,0,0.099365234375,-0.306902871105681,0.943603515625,1
